ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3175021007	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	JATI	4903	10	4766	72	55																							
3174041002	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	JATI PADANG	5192	3	5085	65	39																							
3173071004	DKI JAKARTA	JAKARTA BARAT	PALMERAH	JATI PULO	2485	0	2421	51	13																							
3175061001	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	JATINEGARA	5680	0	5582	81	17																							
3175021004	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	JATINEGARA KAUM	2356	2	2312	41	1																							
3173021004	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	JELAMBAR	5194	6	5096	63	29																							
3173021006	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	JELAMBAR BARU	4997	7	4909	50	31																							
3173041006	DKI JAKARTA	JAKARTA BARAT	TAMBORA	JEMBATAN BESI	2306	1	2260	34	11																							
3173041008	DKI JAKARTA	JAKARTA BARAT	TAMBORA	JEMBATAN LIMA	1967	1	1937	27	2																							
3173081005	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	JOGLO	5125	3	5030	46	46																							
3171081001	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	JOHAR BARU	5747	4	5656	71	16																							
3173041002	DKI JAKARTA	JAKARTA BARAT	TAMBORA	KALI ANYAR	1645	2	1614	27	2																							
3172041004	DKI JAKARTA	JAKARTA UTARA	CILINCING	KALI BARU	2371	0	2319	51	1																							
3174081002	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	KALIBATA	5884	6	5765	89	24																							
3173061001	DKI JAKARTA	JAKARTA BARAT	KALI DERES	KALIDERES	7061	8	6922	99	32																							
3175051004	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	KALISARI	6111	1	5991	96	23																							
3173061004	DKI JAKARTA	JAKARTA BARAT	KALI DERES	KAMAL	2447	3	2396	41	7																							
3172011002	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	KAMAL MUARA	1780	4	1730	10	36																							
3171071007	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KAMPUNG BALI	1090	0	1065	21	4																							
3175031001	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	KAMPUNG MELAYU	2085	0	2058	23	4																							
