ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3173041006	DKI JAKARTA	JAKARTA BARAT	TAMBORA	JEMBATAN BESI	2286	0	2252	34	0																							
3173041008	DKI JAKARTA	JAKARTA BARAT	TAMBORA	JEMBATAN LIMA	1957	0	1930	27	0																							
3173081005	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	JOGLO	5047	0	4998	46	3																							
3171081001	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	JOHAR BARU	5724	1	5648	71	4																							
3173041002	DKI JAKARTA	JAKARTA BARAT	TAMBORA	KALI ANYAR	1639	0	1612	27	0																							
3172041004	DKI JAKARTA	JAKARTA UTARA	CILINCING	KALI BARU	2368	0	2317	51	0																							
3174081002	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	KALIBATA	5829	2	5735	89	3																							
3173061001	DKI JAKARTA	JAKARTA BARAT	KALI DERES	KALIDERES	7003	4	6896	99	4																							
3175051004	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	KALISARI	6073	0	5977	96	0																							
3173061004	DKI JAKARTA	JAKARTA BARAT	KALI DERES	KAMAL	2431	1	2389	41	0																							
3172011002	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	KAMAL MUARA	1716	1	1703	10	2																							
3171071007	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KAMPUNG BALI	1084	1	1062	21	0																							
3175031001	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	KAMPUNG MELAYU	2079	0	2055	23	1																							
3171081002	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	KAMPUNG RAWA	2035	0	2003	32	0																							
3175041002	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	KAMPUNG TENGAH	4633	0	4550	79	4																							
3173011005	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	KAPUK	9213	1	9022	189	1																							
3172011003	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	KAPUK MUARA	5011	4	4971	30	6																							
3171021002	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	KARANG ANYAR	2882	0	2840	42	0																							
3174021004	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET	1566	0	1552	13	1																							
3174021003	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET KUNINGAN	4206	1	4156	47	2																							
3174021002	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET SEMANGGI	637	0	630	6	1																							
3171071003	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KARET TENGSIN	2567	2	2538	27	0																							
3171021003	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	KARTINI	2889	0	2850	39	0																							
3175011003	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	KAYU MANIS	3243	0	3201	42	0																							
3175021006	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	KAYU PUTIH	6268	0	6188	73	7																							
3173031006	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	KEAGUNGAN	1753	2	1735	14	2																							
3174041007	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	KEBAGUSAN	5049	1	4977	69	2																							
3174051006	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	KEBAYORAN LAMA SELATAN	5141	0	5056	84	1																							
3174051001	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	KEBAYORAN LAMA UTARA	4571	1	4509	58	3																							
3174011004	DKI JAKARTA	JAKARTA SELATAN	TEBET	KEBON BARU	4001	0	3940	61	0																							
3172021005	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	KEBON BAWANG	5305	0	5242	63	0																							
3173051001	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEBON JERUK	7762	2	7665	92	3																							
3171071006	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KEBON KACANG	2439	0	2393	44	2																							
3171011005	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	KEBON KELAPA	1443	0	1428	15	0																							
3171031002	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	KEBON KOSONG	4318	1	4257	57	3																							
3175011005	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	KEBON MANGGIS	2273	2	2237	33	1																							
3171071005	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KEBON MELATI	2627	0	2581	43	3																							
3175081003	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	KEBON PALA	5358	0	5268	82	8																							
3171061005	DKI JAKARTA	JAKARTA PUSAT	MENTENG	KEBON SIRIH	1354	0	1333	19	2																							
3173011004	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	KEDAUNG KALI ANGKE	3005	1	2965	39	0																							
3173051007	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEDOYA SELATAN	3981	1	3919	57	4																							
3173051006	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEDOYA UTARA	5087	0	5025	61	1																							
3173051004	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KELAPA DUA	3269	0	3223	43	3																							
3175091003	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	KELAPA DUA WETAN	6148	2	6067	79	0																							
3172061003	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING BARAT	6969	4	6893	65	7																							
3172061001	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING TIMUR	7066	1	6989	70	6																							
3173071005	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KEMANGGISAN	4640	2	4571	65	2																							
3171031001	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	KEMAYORAN	3629	0	3581	48	0																							
3173081006	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN SELATAN	3844	0	3811	27	6																							
3173081001	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN UTARA	5660	1	5582	71	6																							
3171041002	DKI JAKARTA	JAKARTA PUSAT	SENEN	KENARI	1777	1	1756	20	0																							
3173041005	DKI JAKARTA	JAKARTA BARAT	TAMBORA	KERENDANG	1701	0	1681	20	0																							
3175071003	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	KLENDER	6460	1	6341	118	0																							
3172031001	DKI JAKARTA	JAKARTA UTARA	KOJA	KOJA	2620	0	2579	41	0																							
3173071006	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU SELATAN	2310	1	2269	40	0																							
3173071003	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU UTARA	2174	0	2132	39	3																							
3171041004	DKI JAKARTA	JAKARTA PUSAT	SENEN	KRAMAT	2861	0	2815	46	0																							
3175041001	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	KRAMAT JATI	4476	0	4402	73	1																							
3174071003	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	KRAMAT PELA	1706	0	1687	13	6																							
3173031002	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	KRUKUT	1902	1	1880	21	0																							
3174031005	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	KUNINGAN BARAT	1384	1	1372	9	2																							
3174021008	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KUNINGAN TIMUR	2360	0	2351	9	0																							
3171041005	DKI JAKARTA	JAKARTA PUSAT	SENEN	KWITANG	1681	0	1655	26	0																							
3172031003	DKI JAKARTA	JAKARTA UTARA	KOJA	LAGOA	4864	0	4778	86	0																							
3174061002	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	LEBAK BULUS	6214	4	6144	58	8																							
3174091004	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	LENTENG AGUNG	5626	1	5553	71	1																							
LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	114578	35	113781	667	95																							
3175101007	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	LUBANG BUAYA	7495	0	7414	80	1																							
3175081001	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	MAKASAR	4715	0	4647	67	1																							
3175071006	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA JAYA	4290	0	4224	65	1																							
3175071005	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA SARI	4120	1	4047	72	0																							
3174031001	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	MAMPANG PRAPATAN	2959	0	2922	35	2																							
3173031005	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MANGGA BESAR	1262	0	1246	15	1																							
3171021005	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	MANGGA DUA SELATAN	2980	2	2935	41	2																							
3174011007	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI	2506	0	2477	29	0																							
3174011006	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI SELATAN	2680	0	2633	47	0																							
3173031003	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MAPHAR	1952	0	1918	33	1																							
3172041003	DKI JAKARTA	JAKARTA UTARA	CILINCING	MARUNDA	1624	0	1602	22	0																							
3174071001	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	MELAWAI	707	0	700	5	2																							
3171061001	DKI JAKARTA	JAKARTA PUSAT	MENTENG	MENTENG	3158	1	3117	35	5																							
3174021005	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	MENTENG ATAS	3795	1	3739	51	4																							
3174011003	DKI JAKARTA	JAKARTA SELATAN	TEBET	MENTENG DALAM	4728	0	4669	56	3																							
3173081003	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA SELATAN	4477	0	4425	50	2																							
3173081002	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA UTARA	5915	0	5846	65	4																							
3175101004	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	MUNJUL	3501	0	3463	37	1																							
3172051002	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN BARAT	6954	0	6864	88	2																							
3172051001	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN TIMUR	7984	1	7908	74	1																							
3175011004	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	PAL MERIAM	2365	0	2332	33	0																							
3173071001	DKI JAKARTA	JAKARTA BARAT	PALMERAH	PALMERAH	7704	0	7563	138	3																							
3174081001	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	PANCORAN	2888	0	2852	34	2																							
3172021003	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	PAPANGGO	3304	2	3264	38	0																							
3171021001	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	PASAR BARU	2427	0	2402	25	0																							
3174021006	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	PASAR MANGGIS	2911	0	2852	56	3																							
3174041001	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PASAR MINGGU	4569	0	4509	58	2																							
3171041003	DKI JAKARTA	JAKARTA PUSAT	SENEN	PASEBAN	3637	2	3592	42	1																							
3173061005	DKI JAKARTA	JAKARTA BARAT	KALI DERES	PEGADUNGAN	7637	2	7568	65	2																							
3171061002	DKI JAKARTA	JAKARTA PUSAT	MENTENG	PEGANGSAAN	2827	0	2773	54	0																							
3172061002	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	PEGANGSAAN DUA	7387	1	7306	74	6																							
3172011004	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PEJAGALAN	9011	2	8919	88	2																							
3174041006	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PEJATEN BARAT	5263	0	5193	63	7																							
3174041005	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PEJATEN TIMUR	5561	1	5462	97	1																							
3175051005	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	PEKAYON	4265	0	4213	51	1																							
3173041009	DKI JAKARTA	JAKARTA BARAT	TAMBORA	PEKOJAN	2735	0	2696	38	1																							
3174031003	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	PELA MAMPANG	5918	1	5842	71	4																							
3174081005	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	PENGADEGAN	3230	1	3188	41	0																							
3175061003	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	PENGGILINGAN	7663	0	7543	119	1																							
3172011001	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PENJARINGAN	6782	0	6705	76	1																							
3174101001	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PESANGGRAHAN	3458	0	3416	40	2																							
3171071004	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	PETAMBURAN	3210	0	3151	59	0																							
3174071008	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	PETOGOGAN	1647	1	1624	20	2																							
3171011004	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	PETOJO SELATAN	2420	0	2385	27	8																							
3171011003	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	PETOJO UTARA	2131	1	2097	33	0																							
3174101004	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PETUKANGAN SELATAN	4113	0	4066	40	7																							
3174101003	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PETUKANGAN UTARA	5621	0	5565	53	3																							
3175081002	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	PINANG RANTI	3264	0	3217	47	0																							
3173031008	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	PINANGSIA	1201	0	1186	15	0																							
3175011001	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	PISANGAN BARU	3592	0	3539	53	0																							
3175021002	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	PISANGAN TIMUR	4864	0	4806	54	4																							
3172011005	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PLUIT	7373	3	7298	52	20																							
3175071002	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK BAMBU	8280	0	8158	121	1																							
3175071004	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK KELAPA	8442	1	8314	117	10																							
3175071007	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK KOPI	3584	0	3515	69	0																							
3174061003	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	PONDOK LABU	5845	1	5769	72	3																							
3174051002	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	PONDOK PINANG	7776	4	7677	86	9																							
3175101003	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	PONDOK RANGGON	3541	0	3522	19	0																							
